FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active
,,,Saint Kitts and Nevis,17.357822,-62.782998,15,0,6,9
,,,Mali,17.570692,-3.996166,490,26,135,329
,,,Niger,17.607789,8.081666,719,32,452,235
,,Saint Barthelemy,France,17.9,-62.8333,6,0,6,0
,,Sint Maarten,Netherlands,18.0425,-63.0548,75,13,33,29
,,St Martin,France,18.0708,-63.0501,38,3,24,11
,,,Jamaica,18.1096,-77.2975,422,8,29,385
,,Anguilla,United Kingdom,18.2206,-63.0686,3,0,3,0
72,,Puerto Rico,US,18.2208,-66.5901,1539,92,0,1447
78,,Virgin Islands,US,18.3358,-64.8963,66,4,0,62
,,British Virgin Islands,United Kingdom,18.4207,-64.64,6,1,3,2
,,,Dominican Republic,18.7357,-70.1627,6972,301,1301,5370
,,,Haiti,18.9712,-72.2852,81,8,8,65
,,Hainan,China,19.1959,109.7453,168,6,162,0
,,Cayman Islands,United Kingdom,19.3133,-81.2546,73,1,10,62
15001,Hawaii,Hawaii,US,19.60121157,-155.5210167,73,0,0,73
,,,Laos,19.85627,102.495496,19,0,8,11
,,,India,20.593684,78.96288,34863,1154,9068,24641
15009,Maui,Hawaii,US,20.86399628,-156.5689097,116,5,0,111
,,,Mauritania,21.0079,-10.9408,8,1,6,1
15003,Honolulu,Hawaii,US,21.45803166,-157.9712182,399,11,0,388
,,,Oman,21.512583,55.923255,2348,11,495,1842
,,,Cuba,21.521757,-77.781167,1501,61,681,759
,,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,12,1,5,6
,,,Burma,21.9162,95.956,151,6,27,118
15007,Kauai,Hawaii,US,22.03935037,-159.5966786,21,0,0,21
,,Macau,China,22.1667,113.55,45,0,35,10
,,Hong Kong,China,22.3,114.2,1037,4,846,187
,,Guangdong,China,23.3417,113.4244,1588,8,1565,15
,,,United Arab Emirates,23.424076,53.847818,12481,105,2429,9947
,,,Mexico,23.6345,-102.5528,19224,1859,11423,5942
,,,Bangladesh,23.685,90.3563,7667,168,160,7339
,,,Taiwan*,23.7,121,429,6,322,101
,,Guangxi,China,23.8298,108.7881,254,2,252,0
,,,Saudi Arabia,23.885942,45.079162,22753,162,3163,19428
,,,Western Sahara,24.2155,-12.8858,6,0,5,1
,,Yunnan,China,24.974,101.487,185,2,181,2
,,,Bahamas,25.025885,-78.035889,81,11,25,45
12087,Monroe,Florida,US,25.20904673,-81.07812416,79,3,0,76
,,,Qatar,25.3548,51.1839,13409,10,1372,12027
12086,Miami-Dade,Florida,US,25.6112362,-80.55170587,12063,352,0,11711
,,,Bahrain,26.0275,50.55,3040,8,1500,1532
,,Fujian,China,26.0789,117.9874,356,1,353,2
12021,Collier,Florida,US,26.11091986,-81.34687065,596,19,0,577
48061,Cameron,Texas,US,26.14524221,-97.48140372,401,17,0,384
12011,Broward,Florida,US,26.15184651,-80.48725556,4953,185,0,4768
,,,Libya,26.3351,17.228331,61,3,18,40
48215,Hidalgo,Texas,US,26.39418217,-98.18299696,324,6,0,318
48489,Willacy,Texas,US,26.47411727,-97.61535848,13,1,0,12
12051,Hendry,Florida,US,26.55386945,-81.16469006,83,3,0,80
48427,Starr,Texas,US,26.56150059,-98.73892358,9,0,0,9
12071,Lee,Florida,US,26.58410348,-81.88399313,1021,43,0,978
12099,Palm Beach,Florida,US,26.64676272,-80.46536002,2963,186,0,2777
,,Guizhou,China,26.8154,106.8748,147,2,145,0
,,,Egypt,26.820553,30.802498,5537,392,1381,3764
12015,Charlotte,Florida,US,26.90131002,-81.92949121,236,19,0,217
12043,Glades,Florida,US,26.95635849,-81.18996211,6,1,0,5
48505,Zapata,Texas,US,27.00156391,-99.16987152,7,0,0,7
48047,Brooks,Texas,US,27.03103197,-98.21808402,1,0,0,1
48247,Jim Hogg,Texas,US,27.04453923,-98.6968187,3,0,0,3
12085,Martin,Florida,US,27.0772071,-80.43109784,191,6,0,185
12115,Sarasota,Florida,US,27.18546175,-82.33174248,352,42,0,310
12027,DeSoto,Florida,US,27.18677893,-81.80941373,29,4,0,25
12055,Highlands,Florida,US,27.34254618,-81.34071957,81,7,0,74
12111,St. Lucie,Florida,US,27.37763908,-80.47106649,247,22,0,225
12093,Okeechobee,Florida,US,27.3863362,-80.88944347,11,0,0,11
48273,Kleberg,Texas,US,27.42435506,-97.69894948,9,1,0,8
12081,Manatee,Florida,US,27.47196942,-82.31831044,580,55,0,525
12049,Hardee,Florida,US,27.49293939,-81.80956574,18,0,0,18
,,,Bhutan,27.5142,90.4336,7,0,5,2
,,Hunan,China,27.6104,111.7088,1019,4,1015,0
,,Jiangxi,China,27.614,115.7221,937,1,936,0
48131,Duval,Texas,US,27.68184592,-98.50864568,2,0,0,2
12061,Indian River,Florida,US,27.69308961,-80.60556721,90,7,0,83
48249,Jim Wells,Texas,US,27.73103938,-98.0904705,3,0,0,3
48355,Nueces,Texas,US,27.736286,-97.5433285,99,3,0,96
48479,Webb,Texas,US,27.7610369,-99.33237355,358,16,0,342
12057,Hillsborough,Florida,US,27.9276559,-82.32013172,1124,23,0,1101
12103,Pinellas,Florida,US,27.93130349,-82.72239666,729,37,0,692
12105,Polk,Florida,US,27.95027105,-81.69732947,483,23,0,460
48409,San Patricio,Texas,US,28.00880118,-97.51763891,13,0,0,13
,,,Algeria,28.0339,1.6596,4006,450,1779,1777
12097,Osceola,Florida,US,28.06312234,-81.14882926,478,7,0,471
48007,Aransas,Texas,US,28.10556197,-96.9995047,2,0,0,2
,,,Nepal,28.1667,84.25,57,0,16,41
12009,Brevard,Florida,US,28.29409504,-80.73091022,285,8,0,277
12101,Pasco,Florida,US,28.30810945,-82.40227529,249,7,0,242
48283,La Salle,Texas,US,28.34453111,-99.09908775,1,0,0,1
48297,Live Oak,Texas,US,28.35101362,-98.1246786,5,0,0,5
48025,Bee,Texas,US,28.41761668,-97.74215593,6,0,0,6
48127,Dimmit,Texas,US,28.42270064,-99.75645095,1,0,0,1
48057,Calhoun,Texas,US,28.47048236,-96.61633945,30,3,0,27
12095,Orange,Florida,US,28.51367621,-81.31799498,1385,34,0,1351
12053,Hernando,Florida,US,28.55364461,-82.42700204,90,5,0,85
48175,Goliad,Texas,US,28.65696592,-97.42760647,7,0,0,7
12119,Sumter,Florida,US,28.70181754,-82.0794267,181,13,0,168
12117,Seminole,Florida,US,28.7158582,-81.24060348,379,8,0,371
48323,Maverick,Texas,US,28.7429195,-100.3157686,24,0,0,24
12069,Lake,Florida,US,28.76202069,-81.7125123,227,12,0,215
48469,Victoria,Texas,US,28.79780988,-96.96813006,132,3,0,129
48321,Matagorda,Texas,US,28.81955746,-96.01230294,60,3,0,57
12017,Citrus,Florida,US,28.84804315,-82.47614748,99,11,0,88
48507,Zavala,Texas,US,28.86617238,-99.76050829,1,0,0,1
48163,Frio,Texas,US,28.86751206,-99.10804207,7,0,0,7
48013,Atascosa,Texas,US,28.89333001,-98.52730485,19,1,0,18
48255,Karnes,Texas,US,28.90705334,-97.85960149,3,0,0,3
48239,Jackson,Texas,US,28.95472367,-96.57749563,6,0,0,6
12127,Volusia,Florida,US,29.05858895,-81.18263252,452,21,0,431
48123,DeWitt,Texas,US,29.08101855,-97.3568117,15,1,0,14
48493,Wilson,Texas,US,29.1732598,-98.08693082,32,3,0,29
,,Zhejiang,China,29.1832,120.0934,1268,1,1264,3
48039,Brazoria,Texas,US,29.18757369,-95.44563172,485,6,0,479
12083,Marion,Florida,US,29.21227113,-82.05803627,175,4,0,171
48481,Wharton,Texas,US,29.27765923,-96.22319248,37,0,0,37
,,,Kuwait,29.31166,47.481766,4024,26,1539,2459
12075,Levy,Florida,US,29.31829741,-82.74007147,19,0,0,19
48325,Medina,Texas,US,29.3557301,-99.11030298,20,2,0,18
48463,Uvalde,Texas,US,29.35739637,-99.76229172,6,0,0,6
22109,Terrebonne,Louisiana,US,29.37343766,-90.82626855,437,32,0,405
48285,Lavaca,Texas,US,29.38508402,-96.93186692,6,1,0,5
48167,Galveston,Texas,US,29.40167322,-94.90469073,572,24,0,548
22075,Plaquemines,Louisiana,US,29.42245447,-89.60322085,177,17,0,160
48029,Bexar,Texas,US,29.44928723,-98.52019748,1374,48,0,1326
48177,Gonzales,Texas,US,29.45634206,-97.49424032,20,2,0,18
12035,Flagler,Florida,US,29.45933576,-81.31508595,133,2,0,131
22057,Lafourche,Louisiana,US,29.52470226,-90.40976986,651,45,0,606
48157,Fort Bend,Texas,US,29.52704478,-95.77219463,1018,24,0,994
48187,Guadalupe,Texas,US,29.58165339,-97.94786822,80,0,0,80
12029,Dixie,Florida,US,29.60631086,-83.15724673,7,0,0,7
12107,Putnam,Florida,US,29.60779729,-81.74230285,106,1,0,105
48089,Colorado,Texas,US,29.622098,-96.5273805,10,0,0,10
12001,Alachua,Florida,US,29.67866525,-82.35928158,267,5,0,262
22101,St. Mary,Louisiana,US,29.69262097,-91.44702164,191,20,0,171
48071,Chambers,Texas,US,29.70972016,-94.67154501,41,0,0,41
12041,Gilchrist,Florida,US,29.72856978,-82.79880657,5,0,0,5
22051,Jefferson,Louisiana,US,29.74075478,-90.11115756,6197,346,0,5851
48019,Bandera,Texas,US,29.74619598,-99.24598147,6,0,0,6
48091,Comal,Texas,US,29.80811278,-98.27647225,54,6,0,48
22113,Vermilion,Louisiana,US,29.83517605,-92.30292538,35,1,0,34
48055,Caldwell,Texas,US,29.83668859,-97.61814775,14,0,0,14
12037,Franklin,Florida,US,29.83791238,-84.82731662,2,0,0,2
48201,Harris,Texas,US,29.86,-95.39,6356,114,0,6242
22045,Iberia,Louisiana,US,29.86803617,-91.75871777,257,21,0,236
22023,Cameron,Louisiana,US,29.87592238,-93.19310676,3,0,0,3
22087,St. Bernard,Louisiana,US,29.87761636,-89.51887093,464,20,0,444
48149,Fayette,Texas,US,29.87788372,-96.92076062,15,1,0,14
48245,Jefferson,Texas,US,29.8832777,-94.16434171,305,21,0,284
48015,Austin,Texas,US,29.88548725,-96.27736949,13,0,0,13
48465,Val Verde,Texas,US,29.89149232,-101.1525205,13,0,0,13
22007,Assumption,Louisiana,US,29.89946234,-91.06461642,182,6,0,176
12109,St. Johns,Florida,US,29.90096506,-81.43589967,208,4,0,204
22089,St. Charles,Louisiana,US,29.90709658,-90.35555967,570,38,0,532
12045,Gulf,Florida,US,29.93543004,-85.2427099,1,0,0,1
48259,Kendall,Texas,US,29.94414155,-98.7113588,16,0,0,16
12007,Bradford,Florida,US,29.95079741,-82.16611613,46,2,0,44
12019,Clay,Florida,US,29.98319144,-81.85609986,273,15,0,258
12067,Lafayette,Florida,US,29.98484137,-83.18166636,1,0,0,1
48473,Waller,Texas,US,30.01058447,-95.99011759,32,0,0,32
22093,St. James,Louisiana,US,30.02531716,-90.80212061,246,19,0,227
12125,Union,Florida,US,30.04412971,-82.37497443,4,0,0,4
12123,Taylor,Florida,US,30.04848048,-83.60445406,3,0,0,3
48209,Hays,Texas,US,30.05669873,-98.02944344,165,1,0,164
,,Chongqing,China,30.0572,107.874,579,6,573,0
48265,Kerr,Texas,US,30.06040006,-99.34930144,5,0,0,5
22071,Orleans,Louisiana,US,30.06971951,-89.92660315,6452,434,0,6018
48021,Bastrop,Texas,US,30.10370699,-97.31206354,73,2,0,71
48361,Orange,Texas,US,30.11879481,-93.89412775,70,1,0,69
22095,St. John the Baptist,Louisiana,US,30.12597499,-90.4753503,768,69,0,699
22099,St. Martin,Louisiana,US,30.13112107,-91.61403569,232,17,0,215
48291,Liberty,Texas,US,30.15152688,-94.81205615,42,0,0,42
12129,Wakulla,Florida,US,30.16548905,-84.39895211,23,1,0,22
12121,Suwannee,Florida,US,30.19746066,-82.9909967,130,14,0,116
22005,Ascension,Louisiana,US,30.20406249,-90.9132841,593,40,0,553
22055,Lafayette,Louisiana,US,30.2049055,-92.06959876,455,20,0,435
48477,Washington,Texas,US,30.21498498,-96.40946246,142,15,0,127
12023,Columbia,Florida,US,30.22509788,-82.62160164,58,2,0,56
22019,Calcasieu,Louisiana,US,30.22931235,-93.35400434,389,29,0,360
12077,Liberty,Florida,US,30.23766008,-84.8829258,3,0,0,3
22047,Iberville,Louisiana,US,30.25734305,-91.3499598,450,30,0,420
12005,Bay,Florida,US,30.26548745,-85.62122584,72,3,0,69
48031,Blanco,Texas,US,30.26640707,-98.3999852,6,0,0,6
22053,Jefferson Davis,Louisiana,US,30.26896765,-92.81210004,62,6,0,56
22001,Acadia,Louisiana,US,30.2950649,-92.41419698,130,10,0,120
48339,Montgomery,Texas,US,30.30079133,-95.50572772,602,12,0,590
48287,Lee,Texas,US,30.31120597,-96.97045773,2,0,0,2
48171,Gillespie,Texas,US,30.31824095,-98.94676915,1,0,0,1
12003,Baker,Florida,US,30.33060121,-82.28467476,20,3,0,17
12031,Duval,Florida,US,30.33225875,-81.66976468,1012,20,0,992
48199,Hardin,Texas,US,30.33364686,-94.38931817,99,3,0,96
48453,Travis,Texas,US,30.33432034,-97.7853562,1654,47,0,1607
,,,Pakistan,30.3753,69.3451,16817,385,4315,12117
12013,Calhoun,Florida,US,30.40666734,-85.19394153,8,0,0,8
22103,St. Tammany,Louisiana,US,30.40942847,-89.95642711,1220,110,0,1110
28045,Hancock,Mississippi,US,30.41830223,-89.48851033,62,5,0,57
12065,Jefferson,Florida,US,30.43669112,-83.89442308,28,2,0,26
22063,Livingston,Louisiana,US,30.44143993,-90.73061664,197,15,0,182
12079,Madison,Florida,US,30.44396917,-83.47398594,55,2,0,53
12073,Leon,Florida,US,30.45955727,-84.27491114,219,3,0,216
22121,West Baton Rouge,Louisiana,US,30.46058217,-91.30989571,98,18,0,80
48051,Burleson,Texas,US,30.49273808,-96.62158484,12,0,0,12
12047,Hamilton,Florida,US,30.49673973,-82.94998918,6,0,0,6
28047,Harrison,Mississippi,US,30.51359752,-89.12467576,174,6,0,168
22033,East Baton Rouge,Louisiana,US,30.53842039,-91.09777565,1874,137,0,1737
28059,Jackson,Mississippi,US,30.54020656,-88.64184064,259,6,0,253
48185,Grimes,Texas,US,30.54579585,-95.98902499,19,1,0,18
12039,Gadsden,Florida,US,30.57796289,-84.61915825,95,0,0,95
48407,San Jacinto,Texas,US,30.57933681,-95.16260304,9,0,0,9
22097,St. Landry,Louisiana,US,30.59724262,-92.00135806,180,42,0,138
12089,Nassau,Florida,US,30.61037141,-81.80297522,56,0,0,56
12133,Washington,Florida,US,30.61359259,-85.66002461,12,0,0,12
,,Sichuan,China,30.6171,102.7103,561,3,558,0
22105,Tangipahoa,Louisiana,US,30.62888673,-90.40664996,553,22,0,531
12131,Walton,Florida,US,30.64204028,-86.16935664,38,0,0,38
48491,Williamson,Texas,US,30.64655664,-97.6004854,301,9,0,292
22011,Beauregard,Louisiana,US,30.64836518,-93.34173616,39,3,0,36
22003,Allen,Louisiana,US,30.65385745,-92.82442028,90,9,0,81
48041,Brazos,Texas,US,30.6636448,-96.30205577,193,16,0,177
12033,Escambia,Florida,US,30.67652764,-87.37284571,506,11,0,495
12091,Okaloosa,Florida,US,30.69143028,-86.59267105,154,4,0,150
12113,Santa Rosa,Florida,US,30.6934145,-87.02458128,154,7,0,147
48299,Llano,Texas,US,30.70645047,-98.68475262,3,0,0,3
13101,Echols,Georgia,US,30.71101099,-82.89687287,5,0,0,5
22077,Pointe Coupee,Louisiana,US,30.71409502,-91.60209535,99,15,0,84
48319,Mason,Texas,US,30.71780434,-99.22629416,15,0,0,15
1003,Baldwin,Alabama,US,30.72774991,-87.72207058,174,3,0,171
22039,Evangeline,Louisiana,US,30.72985248,-92.39915924,49,1,0,48
48471,Walker,Texas,US,30.73872995,-95.57440968,245,2,0,243
48241,Jasper,Texas,US,30.74685667,-94.02667579,22,2,0,20
48457,Tyler,Texas,US,30.77031716,-94.37690895,6,0,0,6
28109,Pearl River,Mississippi,US,30.77090935,-89.58677275,163,19,0,144
48371,Pecos,Texas,US,30.78097267,-102.7241261,9,0,0,9
13049,Charlton,Georgia,US,30.78371028,-82.13951596,8,0,0,8
1097,Mobile,Alabama,US,30.78472347,-88.20842409,1058,55,0,1003
48351,Newton,Texas,US,30.78548982,-93.74408813,2,0,0,2
48331,Milam,Texas,US,30.7858183,-96.97718698,16,1,0,15
48053,Burnet,Texas,US,30.78801353,-98.181887,19,0,0,19
28131,Stone,Mississippi,US,30.79187949,-89.11547539,22,0,0,22
48373,Polk,Texas,US,30.79472531,-94.8276624,19,0,0,19
12063,Jackson,Florida,US,30.7954597,-85.21500423,14,0,0,14
22091,St. Helena,Louisiana,US,30.82210324,-90.71013176,28,1,0,27
13185,Lowndes,Georgia,US,30.83568832,-83.27056716,155,4,0,151
13027,Brooks,Georgia,US,30.83922642,-83.58303423,58,6,0,52
22037,East Feliciana,Louisiana,US,30.84425359,-91.04976723,122,14,0,108
22117,Washington,Louisiana,US,30.85288548,-90.03866652,262,18,0,244
28039,George,Mississippi,US,30.86259065,-88.64436789,13,1,0,12
13275,Thomas,Georgia,US,30.86392347,-83.91847289,186,19,0,167
12059,Holmes,Florida,US,30.86747479,-85.81319222,10,0,0,10
13131,Grady,Georgia,US,30.87454847,-84.23418364,63,4,0,59
22125,West Feliciana,Louisiana,US,30.87882871,-91.4148538,115,2,0,113
13087,Decatur,Georgia,US,30.87967778,-84.57619536,82,1,0,81
13065,Clinch,Georgia,US,30.91395822,-82.70432472,8,0,0,8
13039,Camden,Georgia,US,30.92951916,-81.66601818,33,1,0,32
13253,Seminole,Georgia,US,30.93464824,-84.86823924,29,2,0,27
48313,Madison,Texas,US,30.96694679,-95.93003775,2,0,0,2
,,Hubei,China,30.9756,112.2707,68128,4512,63616,0
48395,Robertson,Texas,US,31.02539637,-96.51272246,4,0,0,4
48027,Bell,Texas,US,31.03736027,-97.4785025,189,3,0,186
13173,Lanier,Georgia,US,31.0382857,-83.06472457,8,1,0,7
,,,Israel,31.046051,34.851612,15946,222,8561,7163
13299,Ware,Georgia,US,31.05449097,-82.42224148,121,11,0,110
22009,Avoyelles,Louisiana,US,31.07796211,-92.00079449,71,7,0,64
48455,Trinity,Texas,US,31.0879489,-95.1367187,8,0,0,8
1061,Geneva,Alabama,US,31.09389027,-85.83572839,9,0,0,9
22115,Vernon,Louisiana,US,31.10884837,-93.18153838,16,2,0,14
1053,Escambia,Alabama,US,31.1256789,-87.15918694,28,1,0,27
28147,Walthall,Mississippi,US,31.14971548,-90.10446654,31,0,0,31
1069,Houston,Alabama,US,31.15197924,-85.29939599,90,4,0,86
13075,Cook,Georgia,US,31.16068491,-83.42947229,23,1,0,22
28157,Wilkinson,Mississippi,US,31.16078225,-91.31018819,69,7,0,62
13201,Miller,Georgia,US,31.16568912,-84.73151117,33,0,0,33
28111,Perry,Mississippi,US,31.17161885,-88.99281835,27,1,0,26
28005,Amite,Mississippi,US,31.17467303,-90.80501621,29,0,0,29
28113,Pike,Mississippi,US,31.17507789,-90.40392572,148,7,0,141
13071,Colquitt,Georgia,US,31.18810588,-83.7677946,185,6,0,179
28035,Forrest,Mississippi,US,31.18961454,-89.25832496,207,12,0,195
48307,McCulloch,Texas,US,31.1925468,-99.34682807,3,0,0,3
48281,Lampasas,Texas,US,31.19531316,-98.24206613,3,0,0,3
13025,Brantley,Georgia,US,31.19576557,-81.97743999,23,2,0,21
22079,Rapides,Louisiana,US,31.19778499,-92.52997303,265,10,0,255
,,Shanghai,China,31.202,121.4491,652,7,599,46
28073,Lamar,Mississippi,US,31.20572971,-89.5077704,103,2,0,101
28041,Greene,Mississippi,US,31.21444233,-88.63922281,5,1,0,4
13205,Mitchell,Georgia,US,31.22483255,-84.19381821,310,30,0,280
28091,Marion,Mississippi,US,31.23132643,-89.8209217,72,6,0,66
13127,Glynn,Georgia,US,31.23279254,-81.53811412,55,1,0,54
,,,Jordan,31.24,36.51,453,8,362,83
1039,Covington,Alabama,US,31.2477854,-86.45050893,36,1,0,35
48145,Falls,Texas,US,31.25350609,-96.93630086,4,0,0,4
48005,Angelina,Texas,US,31.25457347,-94.60901487,53,0,0,53
13019,Berrien,Georgia,US,31.27590016,-83.2252992,17,0,0,17
13003,Atkinson,Georgia,US,31.29633502,-82.87545866,8,1,0,7
48289,Leon,Texas,US,31.29872538,-95.9936328,5,0,0,5
48225,Houston,Texas,US,31.31925973,-95.42226208,5,0,0,5
13099,Early,Georgia,US,31.32155345,-84.90255207,213,20,0,193
48389,Reeves,Texas,US,31.32323325,-103.6903896,5,0,0,5
48095,Concho,Texas,US,31.32635934,-99.86473038,1,0,0,1
13007,Baker,Georgia,US,31.32669878,-84.44218806,23,2,0,21
48403,Sabine,Texas,US,31.34318809,-93.85440451,1,0,0,1
13229,Pierce,Georgia,US,31.35928155,-82.21598442,55,3,0,52
48099,Coryell,Texas,US,31.39078397,-97.79936155,155,2,0,153
48405,San Augustine,Texas,US,31.39457611,-94.17000399,16,1,0,15
1031,Coffee,Alabama,US,31.39932826,-85.98901039,111,0,0,111
48451,Tom Green,Texas,US,31.40464436,-100.462443,49,1,0,48
1129,Washington,Alabama,US,31.4092794,-88.20689944,34,1,0,33
1045,Dale,Alabama,US,31.43037123,-85.61095742,27,0,0,27
48103,Crane,Texas,US,31.43052248,-102.5143314,2,0,0,2
1035,Conecuh,Alabama,US,31.43401703,-86.99320044,9,0,0,9
22029,Concordia,Louisiana,US,31.44817835,-91.63814433,38,4,0,34
13277,Tift,Georgia,US,31.45743864,-83.5236119,117,5,0,112
28001,Adams,Mississippi,US,31.47669768,-91.35326037,133,8,0,125
